Disease,DiseaseDescription,Symptoms,HospitalName,HospitalAddress,ContactInfo
Moyamoya Disease,A rare blood vessel disorder in the brain,"Stroke, speech difficulty, movement problems",Narayana Health,"Bangalore, Karnataka",080-71222222
Moyamoya Disease,A rare blood vessel disorder in the brain,"Stroke, speech difficulty, movement problems",AIIMS Jodhpur,"Jodhpur, Rajasthan",0291-2740741
Myasthenia Gravis,An autoimmune disorder causing muscle weakness,"Drooping eyelids, difficulty swallowing, breathing issues",Medica Superspecialty Hospital,"Kolkata, West Bengal",033-66520000
Myasthenia Gravis,An autoimmune disorder causing muscle weakness,"Drooping eyelids, difficulty swallowing, breathing issues",SGPGI,"Lucknow, Uttar Pradesh",0522-2668004
Progeria,A rare genetic disorder causing rapid aging in children,"Growth failure, joint stiffness, heart disease",Max Hospital,"Mohali, Punjab",0172-6652000
Progeria,A rare genetic disorder causing rapid aging in children,"Growth failure, joint stiffness, heart disease",Jehangir Hospital,"Pune, Maharashtra",020-66819999
Alexander Disease,A rare genetic disorder affecting the nervous system,"Macrocephaly, Seizures, Spasticity",AIIMS,"New Delhi",+91-11-26588500
Alkaptonuria,A metabolic disorder causing black urine disease,"Dark urine, Joint pain, Heart valve damage",Christian Medical College,"Vellore, Tamil Nadu",+91-416-2281000
Apert Syndrome,A genetic disorder characterized by skeletal abnormalities,"Craniosynostosis, Syndactyly, Facial anomalies",PGIMER,"Chandigarh",+91-172-2747585
Barth Syndrome,A genetic condition affecting skeletal muscles and the heart,"Fatigue, Muscle weakness, Heart issues",Narayana Health,"Bangalore",+91-80-71222222
Canavan Disease,A rare genetic disorder causing progressive damage to brain cells,"Hypotonia, Large head, Seizures",Manipal Hospital,"Bangalore",+91-80-40116666
Chediak-Higashi Syndrome,A disorder affecting the immune and nervous systems,"Recurrent infections, Albinism, Neuropathy",Apollo Hospitals,"Chennai",+91-44-28290200
Fabry Disease,A genetic disorder affecting fat metabolism,"Pain, Kidney disease, Heart problems",Sir Ganga Ram Hospital,"New Delhi",+91-11-25750000
Menkes Disease,A disorder affecting copper absorption in the body,"Weak muscles, Seizures, Brittle hair",NIMHANS,"Bangalore",+91-80-26995000
Norrie Disease,A rare genetic disorder causing blindness and hearing loss,"Blindness, Cognitive impairment, Autism-like behavior",Shankar Netralaya,"Chennai",+91-44-28271616
Tay-Sachs Disease,A fatal genetic disorder affecting nerve cells in the brain,"Seizures, Muscle weakness, Vision loss",Max Healthcare,"Delhi",+91-11-26515050
Wilson’s Disease,A disorder affecting copper metabolism in the liver,"Jaundice, Neurological issues, Tremors",Narayana Health,"Bangalore",+91-80-71222222
